quote_number,item_id,workflow_status,part_number,revision,description,type,material,process,is_fully_configured,part_uuid,export_controlled,quantity,unit_price,total_price,total_price_with_add_ons,lead_time
7683,7120885,not_started,0040-33281,06,"SLIDE ASSY CH A/B SER, PROD S, SPLIT",assembled,,Historical Part Requote,False,,False,10,0.00,0.00,0.00,50
7683,7120885,not_started,0040-33281,06,"SLIDE ASSY CH A/B SER, PROD S, SPLIT",assembled,,Historical Part Requote,False,,False,25,0.00,0.00,0.00,50
7683,7120885,not_started,0040-33281,06,"SLIDE ASSY CH A/B SER, PROD S, SPLIT",assembled,,Historical Part Requote,False,,False,50,0.00,0.00,0.00,50
7683,7120886,not_started,0022-27078,02,"MOUNT, CLEAR WAFER SENSOR, LEFT, ENDURA",manufactured,,Historical Part Requote,False,,False,1,0.00,0.00,0.00,50
7683,7120886,not_started,0022-27078,02,"MOUNT, CLEAR WAFER SENSOR, LEFT, ENDURA",manufactured,,Historical Part Requote,False,,False,5,0.00,0.00,0.00,50
7683,7120886,not_started,0022-27078,02,"MOUNT, CLEAR WAFER SENSOR, LEFT, ENDURA",manufactured,,Historical Part Requote,False,,False,10,0.00,0.00,0.00,50
7683,7120886,not_started,0022-27078,02,"MOUNT, CLEAR WAFER SENSOR, LEFT, ENDURA",manufactured,,Historical Part Requote,False,,False,25,0.00,0.00,0.00,50
7683,7120886,not_started,0022-27078,02,"MOUNT, CLEAR WAFER SENSOR, LEFT, ENDURA",manufactured,,Historical Part Requote,False,,False,50,0.00,0.00,0.00,50
7683,7120886,not_started,0022-27078,02,"MOUNT, CLEAR WAFER SENSOR, LEFT, ENDURA",manufactured,,Historical Part Requote,False,,False,125,0.00,0.00,0.00,50
7683,7120887,not_started,0022-27079,02,"MOUNT, CLEAR WAFER SENSOR, RIGHT, ENDURA",manufactured,,Historical Part Requote,False,,False,1,0.00,0.00,0.00,50
7683,7120887,not_started,0022-27079,02,"MOUNT, CLEAR WAFER SENSOR, RIGHT, ENDURA",manufactured,,Historical Part Requote,False,,False,5,0.00,0.00,0.00,50
7683,7120887,not_started,0022-27079,02,"MOUNT, CLEAR WAFER SENSOR, RIGHT, ENDURA",manufactured,,Historical Part Requote,False,,False,10,0.00,0.00,0.00,50
7683,7120887,not_started,0022-27079,02,"MOUNT, CLEAR WAFER SENSOR, RIGHT, ENDURA",manufactured,,Historical Part Requote,False,,False,25,0.00,0.00,0.00,50
7683,7120887,not_started,0022-27079,02,"MOUNT, CLEAR WAFER SENSOR, RIGHT, ENDURA",manufactured,,Historical Part Requote,False,,False,50,0.00,0.00,0.00,50
7683,7120887,not_started,0022-27079,02,"MOUNT, CLEAR WAFER SENSOR, RIGHT, ENDURA",manufactured,,Historical Part Requote,False,,False,150,0.00,0.00,0.00,50
7683,7120888,not_started,0040-54104,01,SUPPORT CENTER RPS2 LID 200MM PRODUCER,manufactured,,Historical Part Requote,False,,False,1,0.00,0.00,0.00,50
7683,7120888,not_started,0040-54104,01,SUPPORT CENTER RPS2 LID 200MM PRODUCER,manufactured,,Historical Part Requote,False,,False,5,0.00,0.00,0.00,50
7683,7120888,not_started,0040-54104,01,SUPPORT CENTER RPS2 LID 200MM PRODUCER,manufactured,,Historical Part Requote,False,,False,10,0.00,0.00,0.00,50
7683,7120888,not_started,0040-54104,01,SUPPORT CENTER RPS2 LID 200MM PRODUCER,manufactured,,Historical Part Requote,False,,False,25,0.00,0.00,0.00,50
7683,7120888,not_started,0040-54104,01,SUPPORT CENTER RPS2 LID 200MM PRODUCER,manufactured,,Historical Part Requote,False,,False,50,0.00,0.00,0.00,50
7683,7120888,not_started,0040-54104,01,SUPPORT CENTER RPS2 LID 200MM PRODUCER,manufactured,,Historical Part Requote,False,,False,65,0.00,0.00,0.00,50
7685,7121056,completed,0023-41790,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,1,484.00,484.00,1184.00,70
7685,7121056,completed,0023-41790,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,5,138.00,690.00,1390.00,70
7685,7121056,completed,0023-41790,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,25,68.84,1721.00,2421.00,70
7685,7121056,completed,0023-41790,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,50,60.20,3010.00,3010.00,70
7685,7121056,completed,0023-41790,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,100,56.40,5640.00,5640.00,70
7685,7121056,completed,0023-41790,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,150,54.79,8218.50,8218.50,70
7685,7121056,completed,0023-41790,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,300,53.52,16056.00,16056.00,70
7685,7121057,completed,0023-41821,01,"CB SAFETY COVER, AC BOX, 10CH UPS, FAB L",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,1,456.00,456.00,1156.00,70
7685,7121057,completed,0023-41821,01,"CB SAFETY COVER, AC BOX, 10CH UPS, FAB L",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,5,122.00,610.00,1310.00,70
7685,7121057,completed,0023-41821,01,"CB SAFETY COVER, AC BOX, 10CH UPS, FAB L",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,25,54.32,1358.00,2058.00,70
7685,7121057,completed,0023-41821,01,"CB SAFETY COVER, AC BOX, 10CH UPS, FAB L",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,50,45.94,2297.00,2297.00,70
7685,7121057,completed,0023-41821,01,"CB SAFETY COVER, AC BOX, 10CH UPS, FAB L",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,100,42.14,4214.00,4214.00,70
7685,7121057,completed,0023-41821,01,"CB SAFETY COVER, AC BOX, 10CH UPS, FAB L",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,150,40.63,6094.50,6094.50,70
7685,7121057,completed,0023-41821,01,"CB SAFETY COVER, AC BOX, 10CH UPS, FAB L",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,300,39.36,11808.00,11808.00,70
7685,7121058,completed,0043-06846,01,"BRACKET ASSY, LOTO, MITSUBISHI 3P CB, 12",assembled,Stainless Steel 304L,SM - Assy,True,,False,1,818.00,818.00,1518.00,70
7685,7121058,completed,0043-06846,01,"BRACKET ASSY, LOTO, MITSUBISHI 3P CB, 12",assembled,Stainless Steel 304L,SM - Assy,True,,False,5,181.00,905.00,1605.00,70
7685,7121058,completed,0043-06846,01,"BRACKET ASSY, LOTO, MITSUBISHI 3P CB, 12",assembled,Stainless Steel 304L,SM - Assy,True,,False,25,52.72,1318.00,2018.00,70
7685,7121058,completed,0043-06846,01,"BRACKET ASSY, LOTO, MITSUBISHI 3P CB, 12",assembled,Stainless Steel 304L,SM - Assy,True,,False,50,36.76,1838.00,2538.00,70
7685,7121058,completed,0043-06846,01,"BRACKET ASSY, LOTO, MITSUBISHI 3P CB, 12",assembled,Stainless Steel 304L,SM - Assy,True,,False,100,28.89,2889.00,2889.00,70
7685,7121058,completed,0043-06846,01,"BRACKET ASSY, LOTO, MITSUBISHI 3P CB, 12",assembled,Stainless Steel 304L,SM - Assy,True,,False,150,26.19,3928.50,3928.50,70
7685,7121058,completed,0043-06846,01,"BRACKET ASSY, LOTO, MITSUBISHI 3P CB, 12",assembled,Stainless Steel 304L,SM - Assy,True,,False,300,23.57,7071.00,7071.00,70
7685,7132419,completed,0043-06852,01,"BRACKET, MOUNTING,",manufactured,CRS,SM - Piece W/HDWE,True,,False,1,579.00,579.00,1179.00,70
7685,7132419,completed,0043-06852,01,"BRACKET, MOUNTING,",manufactured,CRS,SM - Piece W/HDWE,True,,False,5,171.00,855.00,1455.00,70
7685,7132419,completed,0043-06852,01,"BRACKET, MOUNTING,",manufactured,CRS,SM - Piece W/HDWE,True,,False,25,90.64,2266.00,2866.00,70
7685,7132419,completed,0043-06852,01,"BRACKET, MOUNTING,",manufactured,CRS,SM - Piece W/HDWE,True,,False,50,80.62,4031.00,4031.00,70
7685,7132419,completed,0043-06852,01,"BRACKET, MOUNTING,",manufactured,CRS,SM - Piece W/HDWE,True,,False,100,76.07,7607.00,7607.00,70
7685,7132419,completed,0043-06852,01,"BRACKET, MOUNTING,",manufactured,CRS,SM - Piece W/HDWE,True,,False,150,74.17,11125.50,11125.50,70
7685,7132419,completed,0043-06852,01,"BRACKET, MOUNTING,",manufactured,CRS,SM - Piece W/HDWE,True,,False,300,72.66,21798.00,21798.00,70
7685,7132496,completed,0043-06853,01,"BRACKET, MOUNTING,",manufactured,CRS,SM - Piece W/HDWE,True,,False,1,953.00,953.00,1853.00,70
7685,7132496,completed,0043-06853,01,"BRACKET, MOUNTING,",manufactured,CRS,SM - Piece W/HDWE,True,,False,5,373.00,1865.00,2765.00,70
7685,7132496,completed,0043-06853,01,"BRACKET, MOUNTING,",manufactured,CRS,SM - Piece W/HDWE,True,,False,25,257.00,6425.00,7325.00,70
7685,7132496,completed,0043-06853,01,"BRACKET, MOUNTING,",manufactured,CRS,SM - Piece W/HDWE,True,,False,50,243.00,12150.00,12150.00,70
7685,7132496,completed,0043-06853,01,"BRACKET, MOUNTING,",manufactured,CRS,SM - Piece W/HDWE,True,,False,100,238.00,23800.00,23800.00,70
7685,7132496,completed,0043-06853,01,"BRACKET, MOUNTING,",manufactured,CRS,SM - Piece W/HDWE,True,,False,150,235.00,35250.00,35250.00,70
7685,7132496,completed,0043-06853,01,"BRACKET, MOUNTING,",manufactured,CRS,SM - Piece W/HDWE,True,,False,300,233.00,69900.00,69900.00,70
7685,7132501,completed,0043-06876,01,"PANEL, FRONT,NV 125",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,1,689.00,689.00,1289.00,70
7685,7132501,completed,0043-06876,01,"PANEL, FRONT,NV 125",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,5,191.00,955.00,1555.00,70
7685,7132501,completed,0043-06876,01,"PANEL, FRONT,NV 125",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,25,91.24,2281.00,2881.00,70
7685,7132501,completed,0043-06876,01,"PANEL, FRONT,NV 125",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,50,78.78,3939.00,3939.00,70
7685,7132501,completed,0043-06876,01,"PANEL, FRONT,NV 125",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,100,73.20,7320.00,7320.00,70
7685,7132501,completed,0043-06876,01,"PANEL, FRONT,NV 125",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,150,70.91,10636.50,10636.50,70
7685,7132501,completed,0043-06876,01,"PANEL, FRONT,NV 125",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,300,69.05,20715.00,20715.00,70
7685,7132511,completed,0043-06890,01,"PANEL, FRONT, EMO, FAB",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,1,721.00,721.00,1321.00,70
7685,7132511,completed,0043-06890,01,"PANEL, FRONT, EMO, FAB",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,5,206.00,1030.00,1630.00,70
7685,7132511,completed,0043-06890,01,"PANEL, FRONT, EMO, FAB",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,25,103.00,2575.00,3175.00,70
7685,7132511,completed,0043-06890,01,"PANEL, FRONT, EMO, FAB",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,50,90.08,4504.00,4504.00,70
7685,7132511,completed,0043-06890,01,"PANEL, FRONT, EMO, FAB",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,100,84.41,8441.00,8441.00,70
7685,7132511,completed,0043-06890,01,"PANEL, FRONT, EMO, FAB",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,150,81.85,12277.50,12277.50,70
7685,7132511,completed,0043-06890,01,"PANEL, FRONT, EMO, FAB",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,300,79.92,23976.00,23976.00,70
7685,7121063,completed,0043-06891,01,"PANEL, FRONT, BRANCH CIRCUIT BREAKERS",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,1,798.00,798.00,1398.00,70
7685,7121063,completed,0043-06891,01,"PANEL, FRONT, BRANCH CIRCUIT BREAKERS",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,5,239.00,1195.00,1795.00,70
7685,7121063,completed,0043-06891,01,"PANEL, FRONT, BRANCH CIRCUIT BREAKERS",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,25,127.00,3175.00,3775.00,70
7685,7121063,completed,0043-06891,01,"PANEL, FRONT, BRANCH CIRCUIT BREAKERS",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,50,113.00,5650.00,5650.00,70
7685,7121063,completed,0043-06891,01,"PANEL, FRONT, BRANCH CIRCUIT BREAKERS",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,100,107.00,10700.00,10700.00,70
7685,7121063,completed,0043-06891,01,"PANEL, FRONT, BRANCH CIRCUIT BREAKERS",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,150,104.00,15600.00,15600.00,70
7685,7121063,completed,0043-06891,01,"PANEL, FRONT, BRANCH CIRCUIT BREAKERS",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,300,102.00,30600.00,30600.00,70
7685,7132519,completed,0043-06902,02,"PANEL, TOP, GROMMET,",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,1,605.00,605.00,1205.00,70
7685,7132519,completed,0043-06902,02,"PANEL, TOP, GROMMET,",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,5,162.00,810.00,1410.00,70
7685,7132519,completed,0043-06902,02,"PANEL, TOP, GROMMET,",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,25,72.24,1806.00,2406.00,70
7685,7132519,completed,0043-06902,02,"PANEL, TOP, GROMMET,",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,50,60.70,3035.00,3635.00,70
7685,7132519,completed,0043-06902,02,"PANEL, TOP, GROMMET,",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,100,55.00,5500.00,5500.00,70
7685,7132519,completed,0043-06902,02,"PANEL, TOP, GROMMET,",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,150,53.15,7972.50,7972.50,70
7685,7132519,completed,0043-06902,02,"PANEL, TOP, GROMMET,",manufactured,Steel (Galvanized),SM - Piece W/HDWE,True,,False,300,51.30,15390.00,15390.00,70
7685,7121065,completed,0043-06904,01,"BRACKET, MOUNTING, EMO SWITCH, UPS FAB L",assembled,Steel (Galvanized),SM - Assy,True,,False,1,1930.00,1930.00,2530.00,70
7685,7121065,completed,0043-06904,01,"BRACKET, MOUNTING, EMO SWITCH, UPS FAB L",assembled,Steel (Galvanized),SM - Assy,True,,False,5,535.00,2675.00,3275.00,70
7685,7121065,completed,0043-06904,01,"BRACKET, MOUNTING, EMO SWITCH, UPS FAB L",assembled,Steel (Galvanized),SM - Assy,True,,False,25,256.00,6400.00,7000.00,70
7685,7121065,completed,0043-06904,01,"BRACKET, MOUNTING, EMO SWITCH, UPS FAB L",assembled,Steel (Galvanized),SM - Assy,True,,False,50,222.00,11100.00,11700.00,70
7685,7121065,completed,0043-06904,01,"BRACKET, MOUNTING, EMO SWITCH, UPS FAB L",assembled,Steel (Galvanized),SM - Assy,True,,False,100,205.00,20500.00,20500.00,70
7685,7121065,completed,0043-06904,01,"BRACKET, MOUNTING, EMO SWITCH, UPS FAB L",assembled,Steel (Galvanized),SM - Assy,True,,False,150,199.00,29850.00,29850.00,70
7685,7121065,completed,0043-06904,01,"BRACKET, MOUNTING, EMO SWITCH, UPS FAB L",assembled,Steel (Galvanized),SM - Assy,True,,False,300,194.00,58200.00,58200.00,70
7687,7127152,not_started,512-066-025-101,A,BRACKET ASSY SCAVENGE PUMP,manufactured,,Historical Part Requote,False,,True,88,0.00,0.00,0.00,50
7688,7127196,not_started,512-030-600-013,A,SUB-FRAME ASSY LH FS392 - MAINTENANCE,manufactured,,Historical Part Requote,False,,True,12,0.00,0.00,0.00,50
7689,7127548,completed,4060-00127,-,"K1H MODULAR, MOUNTING",manufactured,,Historical Part Requote,False,,False,1,22.59,22.59,22.59,50
7689,7127548,completed,4060-00127,-,"K1H MODULAR, MOUNTING",manufactured,,Historical Part Requote,False,,False,5,22.59,112.95,112.95,50
7689,7127548,completed,4060-00127,-,"K1H MODULAR, MOUNTING",manufactured,,Historical Part Requote,False,,False,10,22.59,225.90,225.90,50
7690,7126992,completed,0040-49229,02,"BASE PLATE, FLOW SWITCH ASSEMBLY, 300MM",manufactured,CRS,SM - Piece W/HDWE,True,,False,1,632.00,632.00,1232.00,60
7690,7126992,completed,0040-49229,02,"BASE PLATE, FLOW SWITCH ASSEMBLY, 300MM",manufactured,CRS,SM - Piece W/HDWE,True,,False,5,158.00,790.00,1390.00,60
7690,7126992,completed,0040-49229,02,"BASE PLATE, FLOW SWITCH ASSEMBLY, 300MM",manufactured,CRS,SM - Piece W/HDWE,True,,False,10,97.90,979.00,1579.00,60
7690,7126992,completed,0040-49229,02,"BASE PLATE, FLOW SWITCH ASSEMBLY, 300MM",manufactured,CRS,SM - Piece W/HDWE,True,,False,15,78.13,1171.95,1771.95,60
7691,7128050,not_started,220-47259-000,003,"SHEET, 16 GA (.06 THK) (ITEM 1, ITEM 2, ITEM 3)",manufactured,,,False,,False,1,0.00,0.00,0.00,0
7691,7128050,not_started,220-47259-000,003,"SHEET, 16 GA (.06 THK) (ITEM 1, ITEM 2, ITEM 3)",manufactured,,,False,,False,5,0.00,0.00,0.00,0
7691,7128050,not_started,220-47259-000,003,"SHEET, 16 GA (.06 THK) (ITEM 1, ITEM 2, ITEM 3)",manufactured,,,False,,False,10,0.00,0.00,0.00,0
7691,7128050,not_started,220-47259-000,003,"SHEET, 16 GA (.06 THK) (ITEM 1, ITEM 2, ITEM 3)",manufactured,,,False,,False,15,0.00,0.00,0.00,0
7691,7128050,not_started,220-47259-000,003,"SHEET, 16 GA (.06 THK) (ITEM 1, ITEM 2, ITEM 3)",manufactured,,,False,,False,20,0.00,0.00,0.00,0
7691,7128050,not_started,220-47259-000,003,"SHEET, 16 GA (.06 THK) (ITEM 1, ITEM 2, ITEM 3)",manufactured,,,False,,False,25,0.00,0.00,0.00,0
7691,7128050,not_started,220-47259-000,003,"SHEET, 16 GA (.06 THK) (ITEM 1, ITEM 2, ITEM 3)",manufactured,,,False,,False,30,0.00,0.00,0.00,0
7692,7144869,not_started,512-030-101-075,-,GPU Support Assy,manufactured,,Historical Part Requote,False,,True,11,0.00,0.00,0.00,50
7693,7144995,not_started,512-030-101-075,-,GPU Support Assy,manufactured,,Historical Part Requote,False,,True,11,0.00,0.00,0.00,50
7693,7144998,not_started,512-000-030-197,-,BRACKET DISCONNECT,manufactured,,Historical Part Requote,False,,True,11,0.00,0.00,0.00,50
7694,7145350,not_started,0015-21560,01,"MODIFIED, FLEXI BUS, SUB FAB AC",manufactured,,Historical Part Requote,False,,False,1,0.00,0.00,0.00,50
7694,7145350,not_started,0015-21560,01,"MODIFIED, FLEXI BUS, SUB FAB AC",manufactured,,Historical Part Requote,False,,False,5,0.00,0.00,0.00,50
7694,7145350,not_started,0015-21560,01,"MODIFIED, FLEXI BUS, SUB FAB AC",manufactured,,Historical Part Requote,False,,False,10,0.00,0.00,0.00,50
7694,7145350,not_started,0015-21560,01,"MODIFIED, FLEXI BUS, SUB FAB AC",manufactured,,Historical Part Requote,False,,False,25,0.00,0.00,0.00,50
7694,7145350,not_started,0015-21560,01,"MODIFIED, FLEXI BUS, SUB FAB AC",manufactured,,Historical Part Requote,False,,False,50,0.00,0.00,0.00,50
7694,7145350,not_started,0015-21560,01,"MODIFIED, FLEXI BUS, SUB FAB AC",manufactured,,Historical Part Requote,False,,False,100,0.00,0.00,0.00,50
7694,7145350,not_started,0015-21560,01,"MODIFIED, FLEXI BUS, SUB FAB AC",manufactured,,Historical Part Requote,False,,False,200,0.00,0.00,0.00,50
7694,7145350,not_started,0015-21560,01,"MODIFIED, FLEXI BUS, SUB FAB AC",manufactured,,Historical Part Requote,False,,False,300,0.00,0.00,0.00,50
7694,7145351,completed,0023-42817,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),MS - Mill,True,,False,1,738.00,738.00,1838.00,47
7694,7145351,completed,0023-42817,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),MS - Mill,True,,False,5,287.00,1435.00,2535.00,47
7694,7145351,completed,0023-42817,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),MS - Mill,True,,False,10,231.00,2310.00,3410.00,48
7694,7145351,completed,0023-42817,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),MS - Mill,True,,False,25,197.00,4925.00,6025.00,50
7694,7145351,completed,0023-42817,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),MS - Mill,True,,False,50,185.00,9250.00,9250.00,52
7694,7145351,completed,0023-42817,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),MS - Mill,True,,False,100,181.00,18100.00,18100.00,58
7694,7145351,completed,0023-42817,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),MS - Mill,True,,False,200,179.00,35800.00,35800.00,70
7694,7145351,completed,0023-42817,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),MS - Mill,True,,False,300,178.00,53400.00,53400.00,81
7694,7145352,not_started,0023-43217,01,"BLANK OFF, BRANCH BRAKERS",manufactured,,Historical Part Requote,False,,False,1,0.00,0.00,0.00,50
7694,7145352,not_started,0023-43217,01,"BLANK OFF, BRANCH BRAKERS",manufactured,,Historical Part Requote,False,,False,5,0.00,0.00,0.00,50
